Probability Matrix P for clique graph (n=15) - natural algorithm
P[i,j] = probability that node i contacts node j

[[0.    0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.071]
 [0.071 0.    0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.071]
 [0.071 0.071 0.    0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.071]
 [0.071 0.071 0.071 0.    0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.071]
 [0.071 0.071 0.071 0.071 0.    0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.071]
 [0.071 0.071 0.071 0.071 0.071 0.    0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.071]
 [0.071 0.071 0.071 0.071 0.071 0.071 0.    0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.071]
 [0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.    0.071 0.071 0.071 0.071 0.071 0.071 0.071]
 [0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.    0.071 0.071 0.071 0.071 0.071 0.071]
 [0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.    0.071 0.071 0.071 0.071 0.071]
 [0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.    0.071 0.071 0.071 0.071]
 [0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.    0.071 0.071 0.071]
 [0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.    0.071 0.071]
 [0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.    0.071]
 [0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.071 0.   ]]
