Probability Matrix P for clique graph (n=20) - natural algorithm
P[i,j] = probability that node i contacts node j

[[0.    0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053]
 [0.053 0.    0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053]
 [0.053 0.053 0.    0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053]
 [0.053 0.053 0.053 0.    0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053]
 [0.053 0.053 0.053 0.053 0.    0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053]
 [0.053 0.053 0.053 0.053 0.053 0.    0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053]
 [0.053 0.053 0.053 0.053 0.053 0.053 0.    0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053]
 [0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.    0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053]
 [0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.    0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053]
 [0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.    0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053]
 [0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.    0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053]
 [0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.    0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053]
 [0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.    0.053 0.053 0.053 0.053 0.053 0.053 0.053]
 [0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.    0.053 0.053 0.053 0.053 0.053 0.053]
 [0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.    0.053 0.053 0.053 0.053 0.053]
 [0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.    0.053 0.053 0.053 0.053]
 [0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.    0.053 0.053 0.053]
 [0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.    0.053 0.053]
 [0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.    0.053]
 [0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.053 0.   ]]
